epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,667.893,1.18841,1.4299,1.24151,0.97505,0.92735,0.96497,0.6399,1.1661,0.68673,1.22526,0.00332894,0.00332894,0.00332894
2,1333.75,1.17709,0.74552,1.205,0.9284,0.89685,0.9407,0.543,1.38801,0.84393,1.44904,0.00633249,0.00633249,0.00633249
3,2000.54,1.22939,0.73679,1.24868,0.91115,0.85714,0.9043,0.53768,1.35842,0.93476,1.48556,0.00900604,0.00900604,0.00900604
4,2668.24,1.22005,0.69522,1.24915,0.96113,0.91671,0.9579,0.63807,1.18223,0.56073,1.30781,0.008515,0.008515,0.008515
5,3335.48,1.15895,0.616,1.20909,0.97528,0.94092,0.97731,0.66148,1.16525,0.5105,1.2586,0.00802,0.00802,0.00802
6,4003.69,1.12421,0.57535,1.1892,0.97249,0.96029,0.98425,0.70236,1.06396,0.45639,1.19769,0.007525,0.007525,0.007525
7,4670.39,1.09339,0.54703,1.16649,0.98106,0.95324,0.97931,0.69513,1.05946,0.41911,1.19761,0.00703,0.00703,0.00703
8,5336.82,1.06843,0.52256,1.15203,0.9818,0.96662,0.98802,0.71837,1.0324,0.40847,1.17191,0.006535,0.006535,0.006535
9,6002.68,1.04775,0.50365,1.14016,0.98269,0.97337,0.98709,0.71759,1.03136,0.37859,1.17126,0.00604,0.00604,0.00604
10,6668.24,1.02292,0.48018,1.12545,0.98413,0.97385,0.98756,0.73219,1.00618,0.36862,1.1568,0.005545,0.005545,0.005545
11,7336.44,0.98859,0.41066,1.14686,0.98915,0.97088,0.99049,0.73826,1.00065,0.36255,1.15324,0.00505,0.00505,0.00505
12,8002.14,0.95544,0.39259,1.12029,0.98967,0.97391,0.99243,0.7439,0.98266,0.34978,1.14006,0.004555,0.004555,0.004555
13,8666.97,0.92506,0.37603,1.10025,0.98926,0.98139,0.99347,0.7474,0.97474,0.34151,1.13858,0.00406,0.00406,0.00406
14,9331.74,0.89795,0.3594,1.08218,0.98778,0.97882,0.9924,0.75156,0.96535,0.33716,1.12776,0.003565,0.003565,0.003565
15,9996.49,0.86767,0.34785,1.06332,0.98397,0.98117,0.99273,0.75426,0.95991,0.32972,1.12513,0.00307,0.00307,0.00307
16,10661.3,0.83637,0.33392,1.03998,0.99068,0.97824,0.99345,0.75456,0.9557,0.32568,1.1231,0.002575,0.002575,0.002575
17,11326.4,0.80456,0.31762,1.02184,0.98924,0.97929,0.99285,0.75808,0.94939,0.32262,1.12098,0.00208,0.00208,0.00208
18,11992.2,0.76949,0.30102,1.00674,0.99117,0.97879,0.9927,0.76011,0.94211,0.32099,1.11944,0.001585,0.001585,0.001585
19,12658.3,0.73849,0.2886,0.98531,0.99014,0.97772,0.99156,0.76102,0.94085,0.32163,1.12079,0.00109,0.00109,0.00109
20,13322.8,0.70611,0.27581,0.96975,0.98873,0.97735,0.99136,0.76158,0.93949,0.3227,1.12295,0.000595,0.000595,0.000595
